Invoice_ID,Date,Branch,City,Customer_Type,Gender,Product_Line,Unit_Price,Quantity,Tax_5%,Total,Payment,Rating
1001,2026-01-01,A,Coimbatore,Member,Male,Electronic Accessories,250,2,25,525,Cash,8.5
1002,2026-01-02,B,Chennai,Normal,Female,Fashion Accessories,500,1,25,525,Ewallet,9.0
1003,2026-01-03,C,Bangalore,Member,Male,Food and Beverages,150,5,37.5,787.5,Credit Card,8.8
1004,2026-01-04,A,Coimbatore,Normal,Female,Health and Beauty,350,3,52.5,1102.5,Cash,7.9
1005,2026-01-05,B,Chennai,Member,Male,Home and Lifestyle,700,2,70,1470,Ewallet,9.5
1006,2026-01-06,C,Bangalore,Normal,Female,Sports,400,4,80,1680,Credit Card,8.1
1007,2026-01-07,A,Coimbatore,Member,Female,Electronic Accessories,300,3,45,945,Cash,9.2
1008,2026-01-08,B,Chennai,Normal,Male,Fashion Accessories,450,2,45,945,Ewallet,8.0
1009,2026-01-09,C,Bangalore,Member,Female,Food and Beverages,200,6,60,1260,Credit Card,9.4
1010,2026-01-10,A,Coimbatore,Normal,Male,Health and Beauty,600,2,60,1260,Cash,8.6
